sender,receiver,amount,timestamp,location,type,hour,location_encoded,type_encoded,anomaly,ml_flag
user_1,user_59,169436.43,2026-02-01 09:07:46.057602,Ibadan,withdrawal,9,1,2,1,NORMAL
user_8,user_3,138705.11,2026-02-09 20:06:46.059711,Abuja,withdrawal,20,0,2,1,NORMAL
user_40,user_41,885297.15,2026-02-25 09:17:46.059711,Kano,withdrawal,9,2,2,1,NORMAL
user_4,user_9,53673.57,2026-02-11 01:11:46.059711,Port Harcourt,deposit,1,4,0,1,NORMAL
user_49,user_38,39512.11,2026-01-24 12:14:46.059711,Abuja,withdrawal,12,0,2,1,NORMAL
user_35,user_18,197375.02,2026-02-05 11:52:46.059711,Lagos,transfer,11,3,1,1,NORMAL
user_41,user_24,63616.91,2026-02-27 23:13:46.059711,Ibadan,transfer,23,1,1,1,NORMAL
user_29,user_55,184625.41,2026-02-22 11:48:46.059711,Lagos,transfer,11,3,1,1,NORMAL
user_26,user_47,160813.08,2026-01-24 00:07:46.059711,Port Harcourt,deposit,0,4,0,1,NORMAL
user_34,user_50,185400.97,2026-02-02 08:46:46.059711,Ibadan,deposit,8,1,0,1,NORMAL
user_47,user_53,26833.29,2026-01-25 00:56:46.059711,Port Harcourt,deposit,0,4,0,1,NORMAL
user_11,user_44,89659.73,2026-02-03 17:25:46.059711,Kano,deposit,17,2,0,1,NORMAL
user_4,user_57,163040.99,2026-02-14 00:29:46.059711,Ibadan,deposit,0,1,0,1,NORMAL
user_45,user_15,152834.23,2026-01-17 04:33:46.059711,Kano,transfer,4,2,1,1,NORMAL
user_4,user_24,122438.93,2026-02-26 18:24:46.059711,Lagos,deposit,18,3,0,1,NORMAL
user_0,user_38,19350.16,2026-01-20 21:10:46.059711,Port Harcourt,withdrawal,21,4,2,1,NORMAL
user_25,user_52,74828.55,2026-03-25 16:11:46.059711,Lagos,withdrawal,16,3,2,1,NORMAL
user_34,user_31,13082.31,2026-01-19 05:51:46.059711,Port Harcourt,deposit,5,4,0,1,NORMAL
user_16,user_23,11538.14,2026-02-18 14:20:46.059711,Ibadan,deposit,14,1,0,1,NORMAL
user_47,user_40,26103.98,2026-03-11 04:34:46.059711,Port Harcourt,transfer,4,4,1,1,NORMAL
user_23,user_67,93094.89,2026-03-02 23:20:46.059711,Lagos,withdrawal,23,3,2,1,NORMAL
user_9,user_34,26149.54,2026-02-24 04:14:46.059711,Lagos,withdrawal,4,3,2,1,NORMAL
user_29,user_33,109655.05,2026-02-18 02:35:46.059711,Port Harcourt,withdrawal,2,4,2,1,NORMAL
user_24,user_54,145657.73,2026-03-13 03:12:46.059711,Ibadan,withdrawal,3,1,2,1,NORMAL
user_37,user_13,33723.82,2026-02-02 10:52:46.059711,Port Harcourt,deposit,10,4,0,1,NORMAL
user_11,user_54,47112.09,2026-01-19 21:39:46.059711,Port Harcourt,withdrawal,21,4,2,1,NORMAL
user_33,user_13,187106.81,2026-02-10 11:59:46.059711,Port Harcourt,deposit,11,4,0,1,NORMAL
user_33,user_51,508631.43,2026-03-25 23:15:46.059711,Abuja,withdrawal,23,0,2,-1,ANOMALY
user_46,user_14,793687.65,2026-02-19 22:24:46.059711,Kano,withdrawal,22,2,2,1,NORMAL
user_6,user_60,88388.9,2026-02-19 03:00:46.059711,Ibadan,deposit,3,1,0,1,NORMAL
user_24,user_52,107794.5,2026-02-18 13:39:46.059711,Kano,transfer,13,2,1,1,NORMAL
user_14,user_21,183022.4,2026-03-15 06:19:46.059711,Ibadan,deposit,6,1,0,1,NORMAL
user_8,user_67,174344.61,2026-03-13 06:39:46.059711,Ibadan,transfer,6,1,1,1,NORMAL
user_7,user_67,20526.27,2026-01-20 19:33:46.059711,Ibadan,transfer,19,1,1,1,NORMAL
user_49,user_34,977414.68,2026-01-19 11:44:46.059711,Ibadan,transfer,11,1,1,1,NORMAL
user_25,user_19,161601.68,2026-02-23 03:03:46.059711,Port Harcourt,withdrawal,3,4,2,1,NORMAL
user_30,user_35,60525.58,2026-01-27 01:32:46.059711,Lagos,transfer,1,3,1,1,NORMAL
user_43,user_7,188625.99,2026-02-19 04:15:46.059711,Abuja,withdrawal,4,0,2,1,NORMAL
user_47,user_31,145246.17,2026-01-20 22:38:46.059711,Ibadan,transfer,22,1,1,1,NORMAL
user_24,user_7,135778.65,2026-02-20 20:37:46.059711,Ibadan,deposit,20,1,0,1,NORMAL
user_33,user_39,576357.86,2026-02-18 14:22:46.059711,Ibadan,transfer,14,1,1,1,NORMAL
user_41,user_62,143730.02,2026-01-22 13:23:46.059711,Kano,withdrawal,13,2,2,1,NORMAL
user_28,user_64,193914.2,2026-01-31 14:46:46.059711,Kano,transfer,14,2,1,1,NORMAL
user_27,user_44,1388724.53,2026-02-06 16:09:46.059711,Abuja,transfer,16,0,1,-1,ANOMALY
user_22,user_61,90937.06,2026-02-22 13:02:46.059711,Port Harcourt,withdrawal,13,4,2,1,NORMAL
user_26,user_2,26977.67,2026-01-27 16:13:46.059711,Abuja,deposit,16,0,0,1,NORMAL
user_2,user_24,187025.11,2026-02-23 15:56:46.059711,Port Harcourt,transfer,15,4,1,1,NORMAL
user_28,user_57,61887.22,2026-01-20 04:19:46.059711,Port Harcourt,transfer,4,4,1,1,NORMAL
user_48,user_1,48211.92,2026-03-14 09:12:46.059711,Abuja,deposit,9,0,0,1,NORMAL
user_0,user_62,11349.71,2026-03-26 02:12:46.059711,Kano,deposit,2,2,0,1,NORMAL
user_16,user_66,185595.15,2026-01-29 23:33:46.059711,Kano,transfer,23,2,1,1,NORMAL
user_20,user_57,144335.44,2026-02-21 23:23:46.059711,Ibadan,deposit,23,1,0,1,NORMAL
user_29,user_2,1590125.13,2026-03-08 18:43:46.059711,Ibadan,transfer,18,1,1,1,NORMAL
user_25,user_16,68538.33,2026-03-07 19:07:46.059711,Abuja,transfer,19,0,1,1,NORMAL
user_21,user_12,86688.96,2026-03-25 04:20:46.059711,Abuja,transfer,4,0,1,1,NORMAL
user_49,user_52,184684.01,2026-03-05 23:47:46.064634,Ibadan,transfer,23,1,1,1,NORMAL
user_45,user_54,87168.46,2026-02-07 22:06:46.064634,Abuja,transfer,22,0,1,1,NORMAL
user_17,user_38,804369.54,2026-01-22 03:18:46.064634,Abuja,withdrawal,3,0,2,-1,ANOMALY
user_6,user_68,75967.93,2026-03-11 02:50:46.064634,Kano,withdrawal,2,2,2,1,NORMAL
user_30,user_6,49750.23,2026-02-27 13:54:46.064634,Port Harcourt,deposit,13,4,0,1,NORMAL
user_15,user_8,13711.39,2026-01-24 09:45:46.064634,Ibadan,transfer,9,1,1,1,NORMAL
user_13,user_42,62052.64,2026-01-23 10:53:46.064634,Kano,deposit,10,2,0,1,NORMAL
user_37,user_5,172112.0,2026-03-12 05:10:46.064634,Ibadan,deposit,5,1,0,1,NORMAL
user_3,user_27,100551.86,2026-03-01 19:39:46.064634,Port Harcourt,transfer,19,4,1,1,NORMAL
user_39,user_14,42955.56,2026-01-23 05:54:46.064634,Lagos,transfer,5,3,1,1,NORMAL
user_11,user_55,44027.24,2026-02-22 23:58:46.064634,Ibadan,deposit,23,1,0,1,NORMAL
user_35,user_45,63350.24,2026-01-31 09:59:46.064634,Kano,deposit,9,2,0,1,NORMAL
user_32,user_54,140960.72,2026-03-16 23:37:46.064634,Lagos,deposit,23,3,0,1,NORMAL
user_0,user_3,134592.92,2026-02-17 17:57:46.064634,Ibadan,deposit,17,1,0,1,NORMAL
